Djixstra data:
Turn number		Number of passangers in total		Passangers still living		Dead Passangers		Passangers that have survived
0.0,			120.0,					120.0,				0.0,			0.0
1.0,			120.0,					119.0,				1.0,			2.0
2.0,			120.0,					118.0,				2.0,			2.0
3.0,			120.0,					118.0,				2.0,			5.0
4.0,			120.0,					117.0,				3.0,			5.0
5.0,			120.0,					117.0,				3.0,			8.0
6.0,			120.0,					116.0,				4.0,			8.0
7.0,			120.0,					116.0,				4.0,			13.0
8.0,			120.0,					116.0,				4.0,			13.0
9.0,			120.0,					116.0,				4.0,			19.0
10.0,			120.0,					116.0,				4.0,			20.0
11.0,			120.0,					116.0,				4.0,			25.0
12.0,			120.0,					116.0,				4.0,			25.0
13.0,			120.0,					116.0,				4.0,			31.0
14.0,			120.0,					116.0,				4.0,			31.0
15.0,			120.0,					116.0,				4.0,			42.0
16.0,			120.0,					116.0,				4.0,			43.0
17.0,			120.0,					116.0,				4.0,			51.0
18.0,			120.0,					116.0,				4.0,			54.0
19.0,			120.0,					116.0,				4.0,			59.0
20.0,			120.0,					116.0,				4.0,			59.0
21.0,			120.0,					116.0,				4.0,			65.0
22.0,			120.0,					116.0,				4.0,			65.0
23.0,			120.0,					116.0,				4.0,			73.0
24.0,			120.0,					116.0,				4.0,			75.0
25.0,			120.0,					116.0,				4.0,			83.0
26.0,			120.0,					116.0,				4.0,			85.0
27.0,			120.0,					116.0,				4.0,			95.0
28.0,			120.0,					116.0,				4.0,			99.0
29.0,			120.0,					116.0,				4.0,			104.0
30.0,			120.0,					116.0,				4.0,			106.0
31.0,			120.0,					116.0,				4.0,			109.0
32.0,			120.0,					116.0,				4.0,			109.0
33.0,			120.0,					116.0,				4.0,			115.0
34.0,			120.0,					116.0,				4.0,			115.0
35.0,			120.0,					116.0,				4.0,			115.0
36.0,			120.0,					116.0,				4.0,			115.0
37.0,			120.0,					116.0,				4.0,			116.0
